timestamp,pos_x,pos_y,pos_z,yaw,yaw_rate,yaw_cmd,flag
1612940504557616640,10.74595165,49.33476639,-4.89825249,0.91430045,-0.00895107,0.0,0
1612940504659618816,10.74882412,49.33849335,-4.90992212,0.91354295,-0.00592098,0.0,0
1612940504758620928,10.75798893,49.35040665,-4.92216063,0.91305426,-0.0039669,0.0,0
1612940504860623104,10.77493095,49.37240982,-4.9315486,0.91271997,-0.00262527,0.0,0
1612940504962625280,10.79951286,49.40431213,-4.93774319,0.91249971,-0.00173701,0.0,0
1612940505061627392,10.83038139,49.44434738,-4.94145346,0.91235779,-0.00116325,0.0,0
1612940505163629568,10.86898708,49.49438095,-4.94364166,0.91226016,-0.00076963,0.0,0
1612940505262631680,10.91263199,49.55093002,-4.94472456,0.91219706,-0.00051542,0.0,0
1612940505364633856,10.96351051,49.61682129,-4.94518757,0.91215405,-0.00034102,0.0,0
1612940505466636032,11.01995468,49.68989563,-4.94529581,0.91212548,-0.00022565,0.0,0
1612940505565638144,11.07966423,49.76717377,-4.94526386,0.91210672,-0.00015113,0.0,0
1612940505667640320,11.14588261,49.85285187,-4.94523478,0.91209388,-0.00010002,0.0,0
1612940505769642496,11.21650791,49.9442215,-4.94530535,0.91208506,-6.619e-05,0.0,0
1612940505868644608,11.28894901,50.03792191,-4.94552279,0.91207927,-4.436e-05,0.0,0
1612940505970646784,11.36729145,50.13923645,-4.94593096,0.91207527,-2.936e-05,0.0,0
1612940506072648960,11.44910812,50.24500656,-4.94653511,0.9120726,-1.943e-05,0.0,0
1612940506171651072,11.53158283,50.35165024,-4.94730616,0.91207073,-1.302e-05,0.0,0
1612940506273653248,11.61947155,50.46528244,-4.94827938,0.91206945,-8.63e-06,0.0,0
1612940506375655424,11.71008968,50.58243561,-4.94941521,0.91206848,-5.73e-06,0.0,0
1612940506477657600,11.80322552,50.70283127,-4.95069218,0.91206754,-3.8e-06,0.0,0
1612940506576659712,11.89584064,50.82254028,-4.95204449,0.91206738,-2.54e-06,0.0,0
1612940506678661888,11.99337196,50.94861221,-4.95353127,0.91206693,-1.69e-06,0.0,0
1612940506777664000,12.08992577,51.07341003,-4.95504379,0.91206685,-1.13e-06,0.0,0
1612940506879666176,12.19120121,51.20431137,-4.95665359,0.91206647,-7.6e-07,0.0,0
1612940506981668352,12.29415703,51.33736801,-4.95829821,0.91206641,-5e-07,0.0,0
1612940507080670464,12.39556789,51.46842957,-4.95990801,0.91206631,-3.4e-07,0.0,0
1612940507182672640,12.50146198,51.60527802,-4.96156931,0.91206605,-2.2e-07,0.0,0
1612940507383676928,12.7138958,51.8798027,-4.96479797,0.91206604,-1e-07,0.0,0
1612940507383676928,12.7138958,51.8798027,-4.96479797,0.91206604,-1e-07,0.0,0
1612940507485679104,12.82340908,52.02131653,-4.96639204,0.91206596,-6e-08,0.0,0
1612940507587681280,12.93395805,52.16416931,-4.96794748,0.91206591,-4e-08,0.0,0
1612940507788685568,13.1545248,52.44916534,-4.9708724,0.91206606,-3e-08,0.0,0
1612940507890687744,13.26769257,52.59539032,-4.97227764,0.91206572,-2e-08,0.0,0
1612940507992689920,13.38160801,52.7425766,-4.97362614,0.91206569,-1e-08,0.0,0
1612940508091692032,13.49283218,52.88628387,-4.97487831,0.91206582,-1e-08,0.0,0
1612940508193694208,13.6080513,53.03515625,-4.97610998,0.91206586,-1e-08,0.0,0
1612940508295696384,13.72385693,53.18478394,-4.97728252,0.91206587,-0.0,0.0,0
1612940508394698496,13.83677387,53.33067322,-4.97836304,0.91206596,-0.0,0.0,0
1612940508496700672,13.95360279,53.48161697,-4.97941971,0.91206601,-0.0,0.0,0
1612940508598702848,14.07089043,53.63314819,-4.98041821,0.91206596,-1e-08,0.0,0
1612940508700705024,14.1886034,53.78523254,-4.98136234,0.91206569,-0.0,0.0,0
1612940508799707136,14.30322838,53.93332672,-4.98222542,0.91206566,0.0,0.0,0
1612940508901709312,14.4216795,54.08635712,-4.98306322,0.91206567,0.0,-0.02246094,0
1612940509000711424,14.53696537,54.23530197,-4.98382854,0.91203895,-0.00185281,-0.04492188,0
